profile,elem_type,algo,size,runs,time_s,display
Random,int,Bubble,50,20000,0.000069659,69.66 μs
Random,int,Bubble,100,10000,0.000275666,275.67 μs
Random,int,Bubble,1000,100,0.029965780,29.97 ms
Random,int,Bubble,10000,10,TIMEOUT,TIMEOUT
Random,int,Bubble,100000,1,TIMEOUT,TIMEOUT
Random,int,Bubble,1000000,1,TIMEOUT,TIMEOUT
Random,int,Bubble,10000000,1,TIMEOUT,TIMEOUT
Random,int,Selection,50,20000,0.000035101,35.10 μs
Random,int,Selection,100,10000,0.000127612,127.61 μs
Random,int,Selection,1000,100,0.012733735,12.73 ms
Random,int,Selection,10000,10,TIMEOUT,TIMEOUT
Random,int,Selection,100000,1,TIMEOUT,TIMEOUT
Random,int,Selection,1000000,1,TIMEOUT,TIMEOUT
Random,int,Selection,10000000,1,TIMEOUT,TIMEOUT
Random,int,Insertion,50,20000,0.000030729,30.73 μs
Random,int,Insertion,100,10000,0.000115984,115.98 μs
Random,int,Insertion,1000,100,0.012024610,12.02 ms
Random,int,Insertion,10000,10,TIMEOUT,TIMEOUT
Random,int,Insertion,100000,1,TIMEOUT,TIMEOUT
Random,int,Insertion,1000000,1,TIMEOUT,TIMEOUT
Random,int,Insertion,10000000,1,TIMEOUT,TIMEOUT
Random,int,Merge,50,20000,0.000037498,37.50 μs
Random,int,Merge,100,10000,0.000083998,84.00 μs
Random,int,Merge,1000,100,0.001094938,1.09 ms
Random,int,Merge,10000,10,0.013904792,13.90 ms
Random,int,Merge,100000,1,0.165083583,165.08 ms
Random,int,Merge,1000000,1,2.034320708,2.034 s
Random,int,Merge,10000000,1,TIMEOUT,TIMEOUT
Random,int,Quick,50,20000,0.000031743,31.74 μs
Random,int,Quick,100,10000,0.000071776,71.78 μs
Random,int,Quick,1000,100,0.000994560,994.56 μs
Random,int,Quick,10000,10,0.012509259,12.51 ms
Random,int,Quick,100000,1,0.141943000,141.94 ms
Random,int,Quick,1000000,1,1.493737666,1.494 s
Random,int,Quick,10000000,1,TIMEOUT,TIMEOUT
Random,int,Heap,50,20000,0.000033527,33.53 μs
Random,int,Heap,100,10000,0.000078828,78.83 μs
Random,int,Heap,1000,100,0.001234696,1.23 ms
Random,int,Heap,10000,10,0.017132266,17.13 ms
Random,int,Heap,100000,1,0.217498875,217.50 ms
Random,int,Heap,1000000,1,3.088122333,3.088 s
Random,int,Heap,10000000,1,TIMEOUT,TIMEOUT
Random,int,Counting,50,20000,TIMEOUT,TIMEOUT
Random,int,Counting,100,10000,TIMEOUT,TIMEOUT
Random,int,Counting,1000,100,0.002302633,2.30 ms
Random,int,Counting,10000,10,0.003537388,3.54 ms
Random,int,Counting,100000,1,0.013647875,13.65 ms
Random,int,Counting,1000000,1,0.074214375,74.21 ms
Random,int,Counting,10000000,1,0.618673125,618.67 ms
Random,int,LinkedListMerge,50,20000,0.000033119,33.12 μs
Random,int,LinkedListMerge,100,10000,0.000072502,72.50 μs
Random,int,LinkedListMerge,1000,100,0.000948058,948.06 μs
Random,int,LinkedListMerge,10000,10,0.012473183,12.47 ms
Random,int,LinkedListMerge,100000,1,0.155576334,155.58 ms
Random,int,LinkedListMerge,1000000,1,2.169930875,2.170 s
Random,int,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Random,int,TimSort,50,20000,0.000002273,2.27 μs
Random,int,TimSort,100,10000,0.000004699,4.70 μs
Random,int,TimSort,1000,100,0.000064345,64.34 μs
Random,int,TimSort,10000,10,0.000850133,850.13 μs
Random,int,TimSort,100000,1,0.010627625,10.63 ms
Random,int,TimSort,1000000,1,0.143581000,143.58 ms
Random,int,TimSort,10000000,1,1.934013541,1.934 s
